"","date","data"
"1",2013-12-31,85
"2",2014-01-01,136
"3",2014-01-02,79
"4",2014-01-03,109
"5",2014-01-04,74
"6",2014-01-05,91
"7",2014-01-06,69
"8",2014-01-07,17
"9",2014-01-08,42
"10",2014-01-09,77
"11",2014-01-10,120
"12",2014-01-11,36
"13",2014-01-12,97
"14",2014-01-13,94
"15",2014-01-14,162
"16",2014-01-15,340
"17",2014-01-16,88
"18",2014-01-17,57
"19",2014-01-18,125
"20",2014-01-19,30
"21",2014-01-20,36
"22",2014-01-21,102
"23",2014-01-22,173
"24",2014-01-23,103
"25",2014-01-24,37
"26",2014-01-25,58
"27",2014-01-26,83
"28",2014-01-27,54
"29",2014-01-28,97
"30",2014-01-29,62
"31",2014-01-30,132
"32",2014-01-31,95
"33",2014-02-01,73
"34",2014-02-02,30
"35",2014-02-03,29
"36",2014-02-04,74
"37",2014-02-05,88
"38",2014-02-06,57
"39",2014-02-07,28
"40",2014-02-08,9
"41",2014-02-09,18
"42",2014-02-10,77
"43",2014-02-11,83
"44",2014-02-12,116
"45",2014-02-13,186
"46",2014-02-14,324
"47",2014-02-15,173
"48",2014-02-16,56
"49",2014-02-17,54
"50",2014-02-18,57
"51",2014-02-19,143
"52",2014-02-20,165
"53",2014-02-21,170
"54",2014-02-22,154
"55",2014-02-23,216
"56",2014-02-24,301
"57",2014-02-25,262
"58",2014-02-26,23
"59",2014-02-27,65
"60",2014-02-28,61
"61",2014-03-01,111
"62",2014-03-02,155
"63",2014-03-03,55
"64",2014-03-04,28
"65",2014-03-05,22
"66",2014-03-06,55
"67",2014-03-07,118
"68",2014-03-08,90
"69",2014-03-09,80
"70",2014-03-10,125
"71",2014-03-11,20
"72",2014-03-12,47
"73",2014-03-13,56
"74",2014-03-14,109
"75",2014-03-15,113
"76",2014-03-16,141
"77",2014-03-17,79
"78",2014-03-18,67
"79",2014-03-19,26
"80",2014-03-20,45
"81",2014-03-21,86
"82",2014-03-22,111
"83",2014-03-23,141
"84",2014-03-24,136
"85",2014-03-25,189
"86",2014-03-26,196
"87",2014-03-27,108
"88",2014-03-28,68
"89",2014-03-29,59
"90",2014-03-30,117
"91",2014-03-31,84
"92",2014-04-01,107
"93",2014-04-02,61
"94",2014-04-03,91
"95",2014-04-04,67
"96",2014-04-05,96
"97",2014-04-06,108
"98",2014-04-07,139
"99",2014-04-08,134
"100",2014-04-09,275
"101",2014-04-10,79
"102",2014-04-11,99
"103",2014-04-12,116
"104",2014-04-13,147
"105",2014-04-14,79
"106",2014-04-15,79
"107",2014-04-16,85
"108",2014-04-17,85
"109",2014-04-18,58
"110",2014-04-19,55
"111",2014-04-20,58
"112",2014-04-21,73
"113",2014-04-22,97
"114",2014-04-23,83
"115",2014-04-24,112
"116",2014-04-25,65
"117",2014-04-26,63
"118",2014-04-27,79
"119",2014-04-28,100
"120",2014-04-29,100
"121",2014-04-30,124
"122",2014-05-01,41
"123",2014-05-02,106
"124",2014-05-03,49
"125",2014-05-04,48
"126",2014-05-05,97
"127",2014-05-06,80
"128",2014-05-07,80
"129",2014-05-08,79
"130",2014-05-09,67
"131",2014-05-10,27
"132",2014-05-11,60
"133",2014-05-12,85
"134",2014-05-13,52
"135",2014-05-14,120
"136",2014-05-15,88
"137",2014-05-16,82
"138",2014-05-17,103
"139",2014-05-18,107
"140",2014-05-19,120
"141",2014-05-20,122
"142",2014-05-21,131
"143",2014-05-22,98
"144",2014-05-23,114
"145",2014-05-24,123
"146",2014-05-25,64
"147",2014-05-26,101
"148",2014-05-27,71
"149",2014-05-28,92
"150",2014-05-29,126
"151",2014-05-30,137
"152",2014-05-31,62
"153",2014-06-01,39
"154",2014-06-02,57
"155",2014-06-03,75
"156",2014-06-04,80
"157",2014-06-05,73
"158",2014-06-06,25
"159",2014-06-07,65
"160",2014-06-08,51
"161",2014-06-09,72
"162",2014-06-10,57
"163",2014-06-11,60
"164",2014-06-12,81
"165",2014-06-13,60
"166",2014-06-14,120
"167",2014-06-15,107
"168",2014-06-16,86
"169",2014-06-17,77
"170",2014-06-18,108
"171",2014-06-19,62
"172",2014-06-20,63
"173",2014-06-21,48
"174",2014-06-22,41
"175",2014-06-23,74
"176",2014-06-24,85
"177",2014-06-25,76
"178",2014-06-26,34
"179",2014-06-27,45
"180",2014-06-28,69
"181",2014-06-29,83
"182",2014-06-30,94
"183",2014-07-01,73
"184",2014-07-02,111
"185",2014-07-03,98
"186",2014-07-04,70
"187",2014-07-05,75
"188",2014-07-06,109
"189",2014-07-07,91
"190",2014-07-08,56
"191",2014-07-09,66
"192",2014-07-10,61
"193",2014-07-11,32
"194",2014-07-12,48
"195",2014-07-13,62
"196",2014-07-14,86
"197",2014-07-15,91
"198",2014-07-16,100
"199",2014-07-17,94
"200",2014-07-18,67
"201",2014-07-19,70
"202",2014-07-20,40
"203",2014-07-21,27
"204",2014-07-22,51
"205",2014-07-23,87
"206",2014-07-24,70
"207",2014-07-25,91
"208",2014-07-26,94
"209",2014-07-27,89
"210",2014-07-28,93
"211",2014-07-29,95
"212",2014-07-30,118
"213",2014-07-31,95
"214",2014-08-01,81
"215",2014-08-02,88
"216",2014-08-03,44
"217",2014-08-04,57
"218",2014-08-05,58
"219",2014-08-06,75
"220",2014-08-07,73
"221",2014-08-08,86
"222",2014-08-09,54
"223",2014-08-10,59
"224",2014-08-11,53
"225",2014-08-12,42
"226",2014-08-13,51
"227",2014-08-14,104
"228",2014-08-15,72
"229",2014-08-16,57
"230",2014-08-17,66
"231",2014-08-18,78
"232",2014-08-19,87
"233",2014-08-20,109
"234",2014-08-21,60
"235",2014-08-22,104
"236",2014-08-23,31
"237",2014-08-24,33
"238",2014-08-25,53
"239",2014-08-26,77
"240",2014-08-27,85
"241",2014-08-28,79
"242",2014-08-29,100
"243",2014-08-30,67
"244",2014-08-31,91
"245",2014-09-01,25
"246",2014-09-02,45
"247",2014-09-03,67
"248",2014-09-04,92
"249",2014-09-05,95
"250",2014-09-06,106
"251",2014-09-07,42
"252",2014-09-08,65
"253",2014-09-09,77
"254",2014-09-10,97
"255",2014-09-11,62
"256",2014-09-12,70
"257",2014-09-13,57
"258",2014-09-14,41
"259",2014-09-15,73
"260",2014-09-16,52
"261",2014-09-17,72
"262",2014-09-18,93
"263",2014-09-19,97
"264",2014-09-20,92
"265",2014-09-21,87
