,DATE,BEIJING,TIANJIN,SHANGHAI,QINGDAO,SHENYANG,DALIAN,CHINA
367,2015-01-01,137,150,126,NA,132,53,119.6
368,2015-01-02,123,147,163,NA,140,76,129.8
369,2015-01-03,252,266,173,181,152,111,189.1666667
370,2015-01-04,258,393,187,240,201,207,247.6666667
371,2015-01-05,150,197,158,234,156,194,181.5
372,2015-01-06,96,91,147,91,106,75,101
373,2015-01-07,150,156,111,151,123,86,129.5
374,2015-01-08,222,221,157,148,257,107,185.3333333
375,2015-01-09,148,201,205,280,320,155,218.1666667
376,2015-01-10,245,259,222,229,242,160,226.1666667
377,2015-01-11,79,140,245,218,191,108,163.5
378,2015-01-12,179,108,76,107,273,100,140.5
379,2015-01-13,239,194,74,95,231,104,156.1666667
380,2015-01-14,288,277,81,117,262,136,193.5
381,2015-01-15,396,285,162,211,245,181,246.6666667
382,2015-01-16,143,157,182,270,169,151,178.6666667
383,2015-01-17,120,108,151,161,155,78,128.8333333
384,2015-01-18,135,165,147,174,185,164,161.6666667
385,2015-01-19,117,92,164,131,174,81,126.5
386,2015-01-20,169,160,103,76,307,87,150.3333333
387,2015-01-21,58,138,172,133,212,136,141.5
388,2015-01-22,173,169,191,128,432,109,200.3333333
389,2015-01-23,276,217,181,172,308,156,218.3333333
390,2015-01-24,157,196,178,176,185,155,174.5
391,2015-01-25,189,166,188,159,276,152,188.3333333
392,2015-01-26,135,223,181,190,146,139,169
393,2015-01-27,66,78,125,68,109,55,83.5
394,2015-01-28,99,160,78,83,245,91,126
395,2015-01-29,120,161,68,124,208,133,135.6666667
396,2015-01-30,45,83,153,155,107,62,100.8333333
397,2015-01-31,84,108,110,132,228,70,122
398,2015-02-01,151,204,80,149,287,139,168.3333333
399,2015-02-02,212,194,92,146,265,224,188.8333333
400,2015-02-03,167,235,118,191,248,213,195.3333333
401,2015-02-04,45,80,229,233,170,124,146.8333333
402,2015-02-05,76,89,177,128,179,61,118.3333333
403,2015-02-06,152,185,160,157,190,129,162.1666667
404,2015-02-07,40,133,178,181,86,95,118.8333333
405,2015-02-08,70,67,113,86,104,57,82.83333333
406,2015-02-09,184,172,99,138,174,118,147.5
407,2015-02-10,199,201,146,168,199,198,185.1666667
408,2015-02-11,101,185,158,203,156,136,156.5
409,2015-02-12,91,119,222,167,119,80,133
410,2015-02-13,204,169,131,160,170,72,151
411,2015-02-14,315,266,137,158,219,184,213.1666667
412,2015-02-15,342,218,142,144,338,169,225.5
