"","date","data"
"1",10 2014,197.161290322581
"2",11 2014,164.1
"3",12 2014,139.354838709677
"4",1 2014,175.290322580645
"5",2 2014,224.928571428571
"6",3 2014,165.290322580645
"7",4 2014,164.266666666667
"8",5 2014,141.516129032258
"9",6 2014,126.466666666667
"10",7 2014,151.290322580645
"11",8 2014,127.935483870968
"12",9 2014,135.366666666667
"13",10 2015,123.354838709677
"14",11 2015,183.7
"15",12 2015,208.516129032258
"16",1 2015,162.838709677419
"17",2 2015,151.071428571429
"18",3 2015,149.225806451613
"19",4 2015,145.333333333333
"20",5 2015,126.41935483871
"21",6 2015,116.1
"22",7 2015,125.903225806452
"23",8 2015,105.451612903226
"24",9 2015,102.733333333333
"25",10 2016,143.741935483871
"26",11 2016,163.1
"27",12 2016,193.838709677419
"28",1 2016,114.161290322581
"29",2 2016,94.6206896551724
"30",3 2016,146.677419354839
"31",4 2016,130.9
"32",5 2016,123.161290322581
"33",6 2016,127.033333333333
"34",7 2016,128.193548387097
"35",8 2016,99.5806451612903
"36",9 2016,106.766666666667
"37",10 2017,110.451612903226
"38",11 2017,100.1
"39",12 2017,95.8709677419355
"40",1 2017,178.290322580645
"41",2 2017,126.642857142857
"42",3 2017,119.645161290323
"43",4 2017,120.9
"44",5 2017,125.096774193548
"45",6 2017,105.6
"46",7 2017,117.838709677419
"47",8 2017,90.5483870967742
"48",9 2017,97.3
"49",10 2018,91.3870967741936
"50",11 2018,135.066666666667
"51",12 2018,92.2903225806452
"52",1 2018,80.8387096774194
"53",2 2018,103.714285714286
"54",3 2018,152.612903225806
"55",4 2018,127.9
"56",5 2018,135.290322580645
"57",6 2018,116.666666666667
"58",7 2018,103.129032258065
"59",8 2018,85.7741935483871
"60",9 2018,71.9
"61",10 2019,109.935483870968
"62",11 2019,111.433333333333
"63",12 2019,108.225806451613
"64",1 2019,117.290322580645
"65",2 2019,120.357142857143
"66",3 2019,108.41935483871
"67",4 2019,125.8
"68",5 2019,118.096774193548
"69",6 2019,112.033333333333
"70",7 2019,104.193548387097
"71",8 2019,75.7741935483871
"72",9 2019,105.4
"73",1 2020,128.483870967742
"74",2 2020,118.586206896552
"75",3 2020,93.5806451612903
"76",4 2020,94.2
"77",5 2020,107.1
