"","date","data"
"1",2014-01-01,85
"2",2014-01-02,53
"3",2014-01-03,57
"4",2014-01-04,49
"5",2014-01-05,43
"6",2014-01-06,61
"7",2014-01-07,74
"8",2014-01-08,65
"9",2014-01-09,21
"10",2014-01-10,33
"11",2014-01-11,49
"12",2014-01-12,57
"13",2014-01-13,30
"14",2014-01-14,42
"15",2014-01-15,56
"16",2014-01-16,80
"17",2014-01-17,94
"18",2014-01-18,57
"19",2014-01-19,50
"20",2014-01-20,60
"21",2014-01-21,78
"22",2014-01-22,88
"23",2014-01-23,57
"24",2014-01-24,65
"25",2014-01-25,53
"26",2014-01-26,36
"27",2014-01-27,40
"28",2014-01-28,32
"29",2014-01-29,47
"30",2014-01-30,41
"31",2014-01-31,25
"32",2014-02-01,27
"33",2014-02-02,23
"34",2014-02-03,57
"35",2014-02-04,36
"36",2014-02-05,46
"37",2014-02-06,51
"38",2014-02-07,19
"39",2014-02-08,10
"40",2014-02-09,20
"41",2014-02-10,27
"42",2014-02-11,18
"43",2014-02-12,23
"44",2014-02-13,27
"45",2014-02-14,18
"46",2014-02-15,34
"47",2014-02-16,60
"48",2014-02-17,72
"49",2014-02-18,23
"50",2014-02-19,32
"51",2014-02-20,62
"52",2014-02-21,65
"53",2014-02-22,82
"54",2014-02-23,86
"55",2014-02-24,119
"56",2014-02-25,126
"57",2014-02-26,108
"58",2014-02-27,96
"59",2014-02-28,95
"60",2014-03-01,80
"61",2014-03-02,30
"62",2014-03-03,58
"63",2014-03-04,76
"64",2014-03-05,38
"65",2014-03-06,34
"66",2014-03-07,31
"67",2014-03-08,43
"68",2014-03-09,39
"69",2014-03-10,40
"70",2014-03-11,50
"71",2014-03-12,40
"72",2014-03-13,49
"73",2014-03-14,60
"74",2014-03-15,82
"75",2014-03-16,81
"76",2014-03-17,62
"77",2014-03-18,91
"78",2014-03-19,93
"79",2014-03-20,58
"80",2014-03-21,33
"81",2014-03-22,60
"82",2014-03-23,73
"83",2014-03-24,58
"84",2014-03-25,57
"85",2014-03-26,63
"86",2014-03-27,76
"87",2014-03-28,93
"88",2014-03-29,53
"89",2014-03-30,38
"90",2014-03-31,61
"91",2014-04-01,68
"92",2014-04-02,63
"93",2014-04-03,61
"94",2014-04-04,22
"95",2014-04-05,45
"96",2014-04-06,38
"97",2014-04-07,63
