,DATE,SEOUL,DAEJEON,BUSAN,KOREA
367,2015-01-01,54,NA,NA,54
368,2015-01-02,61,NA,NA,61
369,2015-01-03,84,NA,89,86.5
370,2015-01-04,98,NA,113,105.5
371,2015-01-05,132,8,153,97.66666667
372,2015-01-06,59,NA,101,80
373,2015-01-07,59,144,85,96
374,2015-01-08,83,127,108,106
375,2015-01-09,95,NA,114,104.5
376,2015-01-10,82,NA,122,102
377,2015-01-11,89,NA,126,107.5
378,2015-01-12,92,NA,114,103
379,2015-01-13,111,NA,105,108
380,2015-01-14,131,NA,121,126
381,2015-01-15,120,NA,101,110.5
382,2015-01-16,146,NA,145,145.5
383,2015-01-17,74,NA,103,88.5
384,2015-01-18,70,NA,68,69
385,2015-01-19,121,NA,217,169
386,2015-01-20,94,NA,133,113.5
387,2015-01-21,113,NA,145,129
388,2015-01-22,100,NA,96,98
389,2015-01-23,93,NA,112,102.5
390,2015-01-24,106,NA,134,120
391,2015-01-25,124,NA,140,132
392,2015-01-26,100,NA,126,113
393,2015-01-27,98,NA,121,109.5
394,2015-01-28,73,NA,78,75.5
395,2015-01-29,97,NA,76,86.5
396,2015-01-30,79,NA,96,87.5
397,2015-01-31,77,NA,88,82.5
398,2015-02-01,71,NA,96,83.5
399,2015-02-02,91,NA,110,100.5
400,2015-02-03,119,99,108,108.6666667
401,2015-02-04,148,129,144,140.3333333
402,2015-02-05,159,126,155,146.6666667
403,2015-02-06,106,87,126,106.3333333
404,2015-02-07,93,79,121,97.66666667
405,2015-02-08,55,51,95,67
406,2015-02-09,68,55,67,63.33333333
407,2015-02-10,133,129,127,129.6666667
408,2015-02-11,133,130,153,138.6666667
409,2015-02-12,63,62,121,82
410,2015-02-13,69,59,74,67.33333333
411,2015-02-14,104,106,99,103
412,2015-02-15,139,145,161,148.3333333
413,2015-02-16,96,60,123,93
414,2015-02-17,126,122,116,121.3333333
415,2015-02-18,139,136,136,137
416,2015-02-19,138,116,119,124.3333333
417,2015-02-20,117,104,85,102
418,2015-02-21,66,60,77,67.66666667
419,2015-02-22,92,85,83,86.66666667
420,2015-02-23,180,147,141,156
421,2015-02-24,99,92,123,104.6666667
422,2015-02-25,102,100,111,104.3333333
423,2015-02-26,74,73,146,97.66666667
424,2015-02-27,72,64,77,71
425,2015-02-28,90,88,85,87.66666667
426,2015-03-01,103,94,80,92.33333333
427,2015-03-02,94,87,95,92
428,2015-03-03,93,79,128,100
429,2015-03-04,70,59,80,69.66666667
430,2015-03-05,100,93,95,96
431,2015-03-06,102,98,87,95.66666667
432,2015-03-07,103,109,96,102.6666667
433,2015-03-08,145,117,89,117
434,2015-03-09,106,105,89,100
435,2015-03-10,48,46,69,54.33333333
436,2015-03-11,74,79,90,81
437,2015-03-12,59,60,97,72
438,2015-03-13,85,110,139,111.3333333
439,2015-03-14,78,88,118,94.66666667
440,2015-03-15,92,104,104,100
441,2015-03-16,120,133,144,132.3333333
442,2015-03-17,167,156,144,155.6666667
443,2015-03-18,135,101,102,112.6666667
444,2015-03-19,101,54,90,81.66666667
445,2015-03-20,131,113,142,128.6666667
446,2015-03-21,155,140,147,147.3333333
447,2015-03-22,121,133,234,162.6666667
448,2015-03-23,56,53,71,60
449,2015-03-24,77,72,81,76.66666667
450,2015-03-25,85,76,106,89
451,2015-03-26,87,87,117,97
452,2015-03-27,99,108,128,111.6666667
453,2015-03-28,89,93,107,96.33333333
454,2015-03-29,110,101,86,99
455,2015-03-30,149,152,124,141.6666667
456,2015-03-31,164,151,148,154.3333333
457,2015-04-01,67,74,94,78.33333333
458,2015-04-02,61,54,82,65.66666667
459,2015-04-03,73,50,76,66.33333333
460,2015-04-04,38,47,65,50
461,2015-04-05,46,29,126,67
462,2015-04-06,82,83,307,157.3333333
463,2015-04-07,76,76,92,81.33333333
464,2015-04-08,67,67,76,70
465,2015-04-09,99,105,75,93
466,2015-04-10,100,116,77,97.66666667
467,2015-04-11,115,105,92,104
468,2015-04-12,100,97,92,96.33333333
469,2015-04-13,63,52,63,59.33333333
470,2015-04-14,65,46,77,62.66666667
471,2015-04-15,85,88,122,98.33333333
472,2015-04-16,107,105,142,118
473,2015-04-17,72,61,115,82.66666667
474,2015-04-18,74,65,97,78.66666667
475,2015-04-19,62,59,163,94.66666667
476,2015-04-20,33,35,71,46.33333333
477,2015-04-21,82,57,106,81.66666667
478,2015-04-22,116,94,141,117
479,2015-04-23,120,108,151,126.3333333
480,2015-04-24,111,110,158,126.3333333
481,2015-04-25,77,82,151,103.3333333
482,2015-04-26,68,88,130,95.33333333
483,2015-04-27,90,85,152,109
484,2015-04-28,85,74,147,102
485,2015-04-29,95,61,113,89.66666667
486,2015-04-30,73,59,138,90
487,2015-05-01,93,79,108,93.33333333
488,2015-05-02,85,96,106,95.66666667
489,2015-05-03,69,72,97,79.33333333
490,2015-05-04,64,63,170,99
491,2015-05-05,55,51,97,67.66666667
492,2015-05-06,68,66,119,84.33333333
493,2015-05-07,73,83,127,94.33333333
494,2015-05-08,98,80,137,105
495,2015-05-09,78,100,150,109.3333333
496,2015-05-10,73,101,110,94.66666667
497,2015-05-11,82,69,102,84.33333333
498,2015-05-12,62,59,101,74
499,2015-05-13,85,78,128,97
500,2015-05-14,99,87,116,100.6666667
501,2015-05-15,149,154,141,148
502,2015-05-16,91,116,149,118.6666667
503,2015-05-17,110,84,138,110.6666667
504,2015-05-18,88,72,127,95.66666667
505,2015-05-19,104,91,134,109.6666667
506,2015-05-20,74,66,120,86.66666667
507,2015-05-21,80,65,107,84
508,2015-05-22,100,74,117,97
509,2015-05-23,89,83,125,99
510,2015-05-24,69,66,137,90.66666667
511,2015-05-25,87,68,152,102.3333333
512,2015-05-26,84,85,149,106
513,2015-05-27,80,76,150,102
514,2015-05-28,87,78,145,103.3333333
515,2015-05-29,93,95,133,107
516,2015-05-30,90,94,156,113.3333333
517,2015-05-31,88,94,130,104
518,2015-06-01,82,72,146,100
519,2015-06-02,84,69,143,98.66666667
520,2015-06-03,64,76,114,84.66666667
521,2015-06-04,71,62,102,78.33333333
522,2015-06-05,73,50,100,74.33333333
523,2015-06-06,74,61,90,75
524,2015-06-07,72,151,72,98.33333333
525,2015-06-08,81,79,119,93
526,2015-06-09,96,98,150,114.6666667
527,2015-06-10,100,109,159,122.6666667
528,2015-06-11,87,92,100,93
529,2015-06-12,90,107,146,114.3333333
530,2015-06-13,118,122,162,134
531,2015-06-14,69,105,113,95.66666667
532,2015-06-15,84,105,122,103.6666667
533,2015-06-16,98,125,164,129
534,2015-06-17,89,112,130,110.3333333
535,2015-06-18,72,72,110,84.66666667
536,2015-06-19,56,64,73,64.33333333
537,2015-06-20,88,98,107,97.66666667
538,2015-06-21,58,60,120,79.33333333
539,2015-06-22,78,86,138,100.6666667
540,2015-06-23,79,72,135,95.33333333
541,2015-06-24,93,110,141,114.6666667
542,2015-06-25,92,96,110,99.33333333
543,2015-06-26,36,31,83,50
544,2015-06-27,33,43,78,51.33333333
545,2015-06-28,60,66,81,69
546,2015-06-29,65,77,90,77.33333333
547,2015-06-30,79,85,100,88
548,2015-07-01,75,55,93,74.33333333
549,2015-07-02,104,77,110,97
550,2015-07-03,95,109,137,113.6666667
551,2015-07-04,76,58,95,76.33333333
552,2015-07-05,85,65,83,77.66666667
553,2015-07-06,75,76,88,79.66666667
554,2015-07-07,85,64,72,73.66666667
555,2015-07-08,26,28,61,38.33333333
556,2015-07-09,28,20,68,38.66666667
557,2015-07-10,46,33,78,52.33333333
558,2015-07-11,73,59,77,69.66666667
559,2015-07-12,30,16,58,34.66666667
560,2015-07-13,57,63,89,69.66666667
561,2015-07-14,127,140,161,142.6666667
562,2015-07-15,106,123,149,126
563,2015-07-16,21,37,61,39.66666667
564,2015-07-17,24,32,60,38.66666667
565,2015-07-18,64,62,79,68.33333333
566,2015-07-19,68,97,73,79.33333333
567,2015-07-20,62,58,78,66
568,2015-07-21,63,53,83,66.33333333
569,2015-07-22,79,55,90,74.66666667
570,2015-07-23,72,52,68,64
571,2015-07-24,42,42,65,49.66666667
572,2015-07-25,52,48,64,54.66666667
573,2015-07-26,46,43,65,51.33333333
574,2015-07-27,66,53,79,66
575,2015-07-28,90,66,106,87.33333333
576,2015-07-29,83,98,120,100.3333333
577,2015-07-30,147,121,137,135
578,2015-07-31,130,86,108,108
579,2015-08-01,111,79,124,104.6666667
580,2015-08-02,79,73,89,80.33333333
581,2015-08-03,78,64,79,73.66666667
582,2015-08-04,68,44,69,60.33333333
583,2015-08-05,82,66,103,83.66666667
584,2015-08-06,84,70,142,98.66666667
585,2015-08-07,95,95,118,102.6666667
586,2015-08-08,82,89,91,87.33333333
587,2015-08-09,56,61,131,82.66666667
588,2015-08-10,69,62,140,90.33333333
589,2015-08-11,119,81,121,107
590,2015-08-12,111,33,64,69.33333333
591,2015-08-13,89,53,58,66.66666667
592,2015-08-14,86,77,123,95.33333333
593,2015-08-15,126,95,150,123.6666667
594,2015-08-16,138,105,100,114.3333333
595,2015-08-17,70,62,61,64.33333333
596,2015-08-18,58,45,64,55.66666667
597,2015-08-19,80,48,68,65.33333333
598,2015-08-20,83,51,88,74
599,2015-08-21,80,50,72,67.33333333
600,2015-08-22,92,102,89,94.33333333
601,2015-08-23,87,121,119,109
602,2015-08-24,74,74,65,71
603,2015-08-25,17,24,47,29.33333333
604,2015-08-26,24,28,51,34.33333333
605,2015-08-27,51,44,64,53
606,2015-08-28,67,62,102,77
