월,일,평균 기온
1,1,-3
1,2,-4.8
1,3,-4.5
1,4,-7.4
1,5,-5.7
1,6,-2.8
1,7,-3.8
1,8,-2.5
1,9,-0.3
1,10,-2.5
1,11,-6
1,12,-4.6
1,13,-1.2
1,14,-1.5
1,15,-2.6
1,16,1
1,17,2.8
1,18,1.4
1,19,5.3
1,20,5.4
1,21,2.4
1,22,-7.7
1,23,-9.6
1,24,-7.3
1,25,-8.2
1,26,-2.9
1,27,-0.9
1,28,-1.8
1,29,-2.8
1,30,-5.6
1,31,-4.7
2,1,-12.8
2,2,-13.7
2,3,-8.6
2,4,-3
2,5,-0.9
2,6,0.9
2,7,-8.7
2,8,-8
2,9,-4.5
2,10,-3.5
2,11,-3.8
2,12,-0.1
2,13,3.1
2,14,3
2,15,-1.3
2,16,-2.8
2,17,-6.4
2,18,-6.8
2,19,-4.4
2,20,-0.2
2,21,2.3
2,22,5.8
2,23,4.4
2,24,4.3
2,25,1.2
2,26,-1.6
2,27,-0.7
2,28,2.1
2,29,5.4
3,1,8.7
3,2,6.9
3,3,6.9
3,4,6.2
3,5,5.3
3,6,3
3,7,3
3,8,2
3,9,3.4
3,10,3.9
3,11,-2.4
3,12,-1.6
3,13,1.7
3,14,3.6
3,15,5.5
3,16,8.1
3,17,10.4
3,18,6.9
3,19,2.8
3,20,3.1
3,21,4.3
3,22,7.8
3,23,5
3,24,3.3
3,25,3.6
3,26,3.9
3,27,6.4
3,28,10.1
3,29,11.6
3,30,9
3,31,5.4
4,1,4.6
4,2,8.3
4,3,4.9
4,4,7.2
4,5,6.7
4,6,5.4
4,7,5.9
4,8,11.3
4,9,15.4
4,10,13.7
4,11,12.2
4,12,8.9
4,13,10.3
4,14,10.5
4,15,13.4
4,16,11.9
4,17,13.6
4,18,15.2
4,19,17
4,20,18.4
4,21,11.4
4,22,9.4
4,23,12.9
4,24,19.7
4,25,15.1
4,26,11.9
4,27,15.2
4,28,17
4,29,19.9
4,30,22.9
5,1,22.6
5,2,23.1
5,3,20
5,4,19.7
5,5,18.8
5,6,18.1
5,7,18.5
5,8,20.8
5,9,20.7
5,10,20.1
5,11,16.2
5,12,17.1
5,13,19.1
5,14,16.1
5,15,16.9
5,16,16.6
5,17,16.6
5,18,18.1
5,19,19.5
5,20,21.3
5,21,23
5,22,23.3
5,23,22.1
5,24,19.7
5,25,20.5
5,26,19.8
5,27,19.3
5,28,20.9
5,29,21.6
5,30,20.7
5,31,20.9
6,1,21.4
6,2,23.1
6,3,23.3
6,4,23.7
6,5,22.5
6,6,23
6,7,23
6,8,22.2
6,9,24.2
6,10,23.7
6,11,23.2
6,12,22.6
6,13,23.4
6,14,24.8
6,15,23.7
6,16,23.5
6,17,23.6
6,18,24.9
6,19,26
6,20,25.4
6,21,25.7
6,22,24.3
6,23,26.2
6,24,27.8
6,25,26.5
6,26,24.6
6,27,24.8
6,28,25.3
6,29,25.9
6,30,21.9
7,1,21.6
7,2,24
7,3,22.7
7,4,24.4
7,5,22.7
7,6,20.9
7,7,24.8
7,8,25.8
7,9,26.3
7,10,25.9
7,11,23.3
7,12,24.7
7,13,26.1
7,14,22.8
7,15,19.7
7,16,21.7
7,17,25.5
7,18,26.3
7,19,23.9
7,20,25.6
7,21,27.5
7,22,27.2
7,23,27.6
7,24,27.8
7,25,27.9
7,26,28.1
7,27,27.9
7,28,28.5
7,29,29.2
7,30,28.4
7,31,29
8,1,30.8
8,2,30.8
8,3,31.3
8,4,31.7
8,5,31.8
8,6,31.5
8,7,30.7
8,8,29.6
8,9,29.7
8,10,27.4
8,11,27.7
8,12,25.5
8,13,26.6
8,14,26.7
8,15,23.7
8,16,26
8,17,27.5
8,18,27.2
8,19,27.9
8,20,25.4
8,21,25.3
8,22,22
8,23,23
8,24,23.3
8,25,25
8,26,27.5
8,27,28.5
8,28,26.1
8,29,25.7
8,30,21.4
8,31,23.8
9,1,25.2
9,2,25
9,3,24.9
9,4,22
9,5,22.3
9,6,21.6
9,7,22.5
9,8,20.2
9,9,20.9
9,10,23.2
9,11,22.8
9,12,21.6
9,13,20
9,14,19.4
9,15,21
9,16,19.9
9,17,17.3
9,18,20.9
9,19,20.6
9,20,20.1
9,21,20.1
9,22,20.7
9,23,21.2
9,24,21.5
9,25,21.8
9,26,21.3
9,27,20.3
9,28,18
9,29,16.4
9,30,16.2
10,1,18.1
10,2,19.3
10,3,19.9
10,4,19
10,5,19
10,6,19.6
10,7,19.2
10,8,18.4
10,9,17.6
10,10,15.7
10,11,13.9
10,12,14.9
10,13,16.4
10,14,16.3
10,15,14.8
10,16,17.1
10,17,12.6
10,18,11.6
10,19,14.8
10,20,15.8
10,21,18.3
10,22,13.4
10,23,10
10,24,13.2
10,25,15.2
10,26,15.9
10,27,14.3
10,28,14.3
10,29,11.7
10,30,8.6
10,31,6.9
11,1,5.6
11,2,7.2
11,3,9.4
11,4,11.8
11,5,8.5
11,6,7.1
11,7,8.4
11,8,8.8
11,9,9.4
11,10,12
11,11,8.7
11,12,7.3
11,13,5.3
11,14,2.4
11,15,4.2
11,16,4.9
11,17,5.3
11,18,3.5
11,19,3.4
11,20,1.9
11,21,4.1
11,22,6.7
11,23,3.3
11,24,1.7
11,25,3.4
11,26,2.3
11,27,2.1
11,28,5
11,29,0.8
11,30,1.7
12,1,-0.9
12,2,2.9
12,3,1.7
12,4,-3.3
12,5,-3.8
12,6,-6.3
12,7,-4.5
12,8,-8.2
12,9,-10.5
12,10,-8.3
12,11,-6.5
12,12,-5
12,13,-1.5
12,14,2.7
12,15,4.6
12,16,1.6
12,17,-0.4
12,18,-6.8
12,19,-6.9
12,20,-3.4
12,21,-0.7
12,22,-3
12,23,-8.9
12,24,-8.8
12,25,-8.9
12,26,-10.8
12,27,-5.7
12,28,-0.9
12,29,-0.3
12,30,-8.2
12,31,-8.7
