월,일,평균 기온
1,1,2.6
1,2,1.2
1,3,0.9
1,4,-1.1
1,5,-0.4
1,6,2
1,7,3.4
1,8,4.7
1,9,3.4
1,10,3.3
1,11,0.9
1,12,-0.8
1,13,2.5
1,14,3.1
1,15,3.7
1,16,5.5
1,17,8.4
1,18,7.2
1,19,8.3
1,20,8.1
1,21,7.8
1,22,3.9
1,23,-3.1
1,24,-2.7
1,25,-2.3
1,26,-0.3
1,27,4.6
1,28,5.1
1,29,3.8
1,30,1.5
1,31,2.6
2,1,0
2,2,-6.5
2,3,-3.2
2,4,1.8
2,5,3.4
2,6,5.3
2,7,1.1
2,8,-3.5
2,9,-0.5
2,10,1.4
2,11,1.5
2,12,3.3
2,13,4.4
2,14,6.8
2,15,6.9
2,16,4
2,17,-0.6
2,18,-2.1
2,19,-0.3
2,20,3.3
2,21,4.2
2,22,7.6
2,23,9.9
2,24,6.4
2,25,5.9
2,26,3.7
2,27,3.9
2,28,4.6
2,29,7.4
3,1,9.2
3,2,8.1
3,3,7.6
3,4,7.1
3,5,7
3,6,7.9
3,7,7.1
3,8,8.6
3,9,8
3,10,7.7
3,11,3.7
3,12,2
3,13,4.2
3,14,7.7
3,15,9.1
3,16,9.3
3,17,11.8
3,18,11.8
3,19,7.8
3,20,7.8
3,21,8
3,22,7.2
3,23,8.4
3,24,7.4
3,25,5.9
3,26,6.2
3,27,10.6
3,28,12.2
3,29,13.5
3,30,14
3,31,9.6
4,1,7.5
4,2,12.3
4,3,10.3
4,4,9.8
4,5,11.6
4,6,9.3
4,7,8.2
4,8,14.2
4,9,16.1
4,10,14.7
4,11,14.9
4,12,14.5
4,13,12.4
4,14,13.8
4,15,15.6
4,16,16.6
4,17,13.6
4,18,13.9
4,19,13.7
4,20,13.5
4,21,14
4,22,14.6
4,23,16.4
4,24,18
4,25,15.5
4,26,16.6
4,27,16
4,28,17.1
4,29,17.6
4,30,17.1
5,1,18.5
5,2,17.5
5,3,16.7
5,4,17.5
5,5,22.3
5,6,20
5,7,19.7
5,8,18.8
5,9,18.4
5,10,15.2
5,11,13.8
5,12,14.4
5,13,15.9
5,14,17
5,15,19.7
5,16,19.4
5,17,19
5,18,17.9
5,19,18.3
5,20,19.9
5,21,21.2
5,22,21.1
5,23,20.9
5,24,21.8
5,25,19.2
5,26,21.5
5,27,22.5
5,28,20.4
5,29,19.6
5,30,19.5
5,31,19.2
6,1,19.5
6,2,20.2
6,3,20.1
6,4,21.2
6,5,22.9
6,6,23.1
6,7,22
6,8,19.9
6,9,20.8
6,10,21.7
6,11,21.2
6,12,22.9
6,13,21.3
6,14,21.6
6,15,20.8
6,16,21.9
6,17,22.9
6,18,20.8
6,19,21.2
6,20,21.3
6,21,22.5
6,22,22.2
6,23,22.8
6,24,21.9
6,25,21.8
6,26,20.3
6,27,19.5
6,28,22.5
6,29,22.4
6,30,23.7
7,1,24.8
7,2,24.3
7,3,24.8
7,4,24.9
7,5,24.1
7,6,23.3
7,7,21.7
7,8,23.1
7,9,22.9
7,10,24.3
7,11,23.7
7,12,24.8
7,13,24.2
7,14,22.3
7,15,24
7,16,23.7
7,17,23.9
7,18,26.1
7,19,26
7,20,25.9
7,21,25.6
7,22,25.9
7,23,27
7,24,28
7,25,28.1
7,26,28.6
7,27,28.6
7,28,29.4
7,29,29.2
7,30,28.7
7,31,29.4
8,1,30.1
8,2,29.7
8,3,29.5
8,4,29.5
8,5,29.9
8,6,29.7
8,7,28.2
8,8,27.5
8,9,27.1
8,10,27.8
8,11,28.5
8,12,28.3
8,13,27.4
8,14,26.1
8,15,27.6
8,16,28.2
8,17,27.8
8,18,28.8
8,19,28.8
8,20,28.4
8,21,28.4
8,22,25
8,23,22.6
8,24,22.7
8,25,26.8
8,26,28.3
8,27,28.7
8,28,26.3
8,29,27.2
8,30,24.9
8,31,23.3
9,1,23.9
9,2,24.4
9,3,24.9
9,4,25.4
9,5,25.6
9,6,24.5
9,7,24.9
9,8,24.1
9,9,21.1
9,10,20.8
9,11,22.1
9,12,22.4
9,13,24.3
9,14,21.1
9,15,19.4
9,16,19.7
9,17,22.1
9,18,21.6
9,19,21.5
9,20,21.2
9,21,21.4
9,22,21.9
9,23,21.7
9,24,21.2
9,25,21.1
9,26,21.2
9,27,21.2
9,28,21.4
9,29,19.6
9,30,19.1
10,1,19.6
10,2,19.6
10,3,19.7
10,4,19.6
10,5,20.3
10,6,20.1
10,7,19.3
10,8,18
10,9,18.7
10,10,19.3
10,11,17.4
10,12,18.2
10,13,18.3
10,14,19.5
10,15,18.8
10,16,19.1
10,17,17.6
10,18,14.1
10,19,16.3
10,20,17.1
10,21,18.9
10,22,18.8
10,23,14.3
10,24,15.5
10,25,16.9
10,26,18
10,27,17.7
10,28,18.4
10,29,16.5
10,30,14.2
10,31,11.3
11,1,10.1
11,2,9.9
11,3,12.7
11,4,13.7
11,5,13.7
11,6,12.8
11,7,12.5
11,8,12.9
11,9,14.9
11,10,14.4
11,11,13.5
11,12,11.3
11,13,10.8
11,14,7.4
11,15,8.4
11,16,11.5
11,17,9.7
11,18,7.9
11,19,9.8
11,20,6.6
11,21,9.1
11,22,10.8
11,23,10.3
11,24,7
11,25,7.2
11,26,6
11,27,4.5
11,28,10.4
11,29,7.3
11,30,6.1
12,1,5.6
12,2,7.1
12,3,8.7
12,4,3.5
12,5,3.7
12,6,0
12,7,2
12,8,1.2
12,9,-2.2
12,10,-0.8
12,11,-0.1
12,12,2.3
12,13,6
12,14,10.2
12,15,10
12,16,9.1
12,17,7.6
12,18,0.5
12,19,-0.9
12,20,2.8
12,21,5.3
12,22,4.9
12,23,-1.3
12,24,-3.2
12,25,0.7
12,26,-1.7
12,27,2.7
12,28,3.4
12,29,5.5
12,30,0.3
12,31,-2.1
