년.월.일,현재지수,대비,등락률...,시가지수,고가지수,저가지수,거래량.천주..외국주미포함,거래량.천주..외국주포함,거래대금.원..외국주미포함,거래대금.원..외국주포함,상장시가총액.원..외국주미포함,상장시가총액.원..외국주포함
2004-01-02,821.26,10.55,1.3,816.26,821.87,813.63,0,"307,494",0,"1,930,260,966,450",0,"359,908,667,785,7"
2004-01-05,824.1,2.84,0.35,817.28,825.43,816.55,0,"408,259",0,"2,226,123,068,220",0,"361,232,703,646,890"
2004-01-06,823.43,-0.67,-0.08,831.26,831.26,819.53,0,"484,055",0,"2,677,546,639,895",0,"361,128,662,481,480"
2004-01-07,827.07,3.64,0.44,826.08,831.07,825.23,0,"404,564",0,"2,313,099,060,125",0,"362,825,279,038,845"
2004-01-08,824.15,-2.92,-0.35,831.1,839.28,824.15,0,"428,759",0,"3,406,925,134,030",0,"361,806,135,456,105"
2004-01-09,845.27,21.12,2.56,835.42,849.5,835.05,0,"543,286",0,"4,162,562,112,875",0,"371,422,795,445,805"
2004-01-12,850.79,5.52,0.65,843.96,853.5,840.11,0,"443,938",0,"3,109,483,842,410",0,"373,985,846,837,485"
2004-01-13,848.43,-2.36,-0.28,855.42,855.45,844.82,0,"400,184",0,"2,533,800,011,030",0,"372,819,097,872,115"
2004-01-14,849.62,1.19,0.14,847.27,855.29,844.55,0,"453,005",0,"2,707,999,317,395",0,"373,150,993,120,775"
2004-01-15,845.66,-3.96,-0.47,849.02,852.19,841.84,0,"388,390",0,"2,646,765,732,965",0,"371,572,926,992,490"
2004-01-16,847.95,2.29,0.27,853.67,854.46,845.4,0,"424,964",0,"2,342,790,440,985",0,"372,728,141,983,075"
2004-01-19,856.8,8.85,1.04,854.96,859.34,851.34,0,"404,253",0,"2,442,871,885,960",0,"376,719,294,080,945"
2004-01-20,861.37,4.57,0.53,854.03,864.26,853.05,0,"364,450",0,"2,403,402,718,800",0,"378,896,346,632,960"
2004-01-26,869.04,7.67,0.89,867.65,871.94,861.82,0,"494,021",0,"3,383,598,627,125",0,"382,618,456,441,245"
2004-01-27,863.03,-6.01,-0.69,873.61,873.61,860.88,0,"437,707",0,"2,877,310,323,515",0,"380,092,209,888,150"
2004-01-28,859.59,-3.44,-0.4,860.37,869.21,859.08,0,"432,891",0,"3,156,315,394,680",0,"379,597,227,413,190"
2004-01-29,853.47,-6.12,-0.71,851.7,854.82,847.98,0,"365,346",0,"2,495,465,705,220",0,"376,413,419,777,320"
2004-01-30,848.5,-4.97,-0.58,854.21,859.13,846.05,0,"447,365",0,"2,675,229,774,355",0,"374,128,607,653,850"
2004-02-02,854.89,6.39,0.75,850.28,855.43,847.74,0,"425,187",0,"1,959,356,454,710",0,"376,702,237,486,200"
2004-02-03,839.87,-15.02,-1.76,853.13,853.13,837.63,0,"461,984",0,"2,651,093,759,010",0,"370,371,202,023,540"
2004-02-04,835.5,-4.37,-0.52,838.52,842.6,834.7,0,"378,597",0,"2,321,909,840,930",0,"368,598,658,981,195"
2004-02-05,840.92,5.42,0.65,835.77,842.44,834.73,0,"635,918",0,"2,917,200,119,150",0,"371,202,227,898,205"
2004-02-06,850.23,9.31,1.11,842.16,853.58,839.43,0,"541,538",0,"2,926,291,789,500",0,"375,745,289,582,870"
2004-02-09,864.77,14.54,1.71,860.9,866.87,859.58,0,"475,219",0,"2,906,085,462,570",0,"381,959,161,903,580"
2004-02-10,866.8,2.03,0.23,866.06,869.62,862.85,0,"450,039",0,"2,643,590,868,170",0,"382,659,864,262,370"
2004-02-11,876.34,9.54,1.1,870.54,877.72,870.24,0,"475,304",0,"3,047,669,994,010",0,"386,622,363,779,785"
2004-02-12,877.95,1.61,0.18,882.04,882.39,872.27,0,"444,122",0,"3,098,881,502,190",0,"385,912,621,804,825"
2004-02-13,882.18,4.23,0.48,876.06,883.35,870.08,0,"385,306",0,"2,644,351,976,690",0,"387,827,288,621,005"
2004-02-16,881.28,-0.9,-0.1,879.23,885.65,876.56,0,"437,969",0,"2,783,141,878,125",0,"387,186,855,210,270"
2004-02-17,884.8,3.52,0.4,884.15,888.73,880.87,0,"435,762",0,"2,633,738,560,365",0,"388,578,317,198,550"
2004-02-18,877.1,-7.7,-0.87,889.23,890.51,877.1,0,"370,523",0,"2,517,269,069,675",0,"385,267,041,277,305"
2004-02-19,881.65,4.55,0.52,880.68,884.89,874.75,0,"734,769",0,"3,022,804,889,190",0,"387,678,843,576,855"
2004-02-20,877.49,-4.16,-0.47,875.76,879.63,872.42,0,"475,494",0,"2,202,384,022,040",0,"385,993,532,828,460"
2004-02-23,877.52,0.03,0,874.93,881.43,867.99,0,"476,208",0,"2,265,145,361,830",0,"386,151,094,649,500"
2004-02-24,864.59,-12.93,-1.47,872.45,876.71,864.34,0,"549,390",0,"2,614,283,581,240",0,"380,411,652,896,140"
2004-02-25,866.87,2.28,0.26,865.22,870.03,862.97,0,"524,663",0,"2,361,336,910,493",0,"381,258,970,420,345"
2004-02-26,864.86,-2.01,-0.23,870.31,873.15,861.77,0,"522,863",0,"2,231,518,154,560",0,"380,404,726,167,860"
2004-02-27,883.42,18.56,2.15,865.51,883.42,861.86,0,"458,652",0,"2,576,072,422,299",0,"388,848,390,165,065"
2004-03-02,899.21,15.79,1.79,892.57,899.99,892.38,0,"489,084",0,"3,372,834,383,940",0,"395,768,462,358,055"
2004-03-03,895.81,-3.4,-0.38,897.49,900.44,895.52,0,"554,723",0,"3,312,981,873,290",0,"394,196,073,788,105"
2004-03-04,907.43,11.62,1.3,898.16,908.82,896.76,0,"589,054",0,"3,336,583,834,595",0,"399,274,806,991,905"
2004-03-05,905.38,-2.05,-0.23,907.21,909.08,904.01,0,"515,727",0,"3,183,510,405,835",0,"398,333,450,297,680"
2004-03-08,900.1,-5.28,-0.58,909.15,910.67,899.07,0,"506,523",0,"2,729,561,862,515",0,"395,855,623,038,125"
2004-03-09,891.58,-8.52,-0.95,891.1,893.73,888.46,0,"474,379",0,"2,264,018,736,440",0,"392,141,982,127,665"
2004-03-10,876.02,-15.56,-1.75,887.11,890.33,874.58,0,"457,319",0,"2,446,086,297,645",0,"385,419,876,906,880"
2004-03-11,869.93,-6.09,-0.7,869.67,878.1,866.33,0,"468,743",0,"3,422,984,529,415",0,"382,915,479,502,445"
2004-03-12,848.8,-21.13,-2.43,866.72,867.35,822.05,0,"655,650",0,"3,819,601,491,405",0,"373,581,555,117,800"
2004-03-15,852.26,3.46,0.41,855.84,857.96,848.23,0,"383,660",0,"1,986,151,107,020",0,"375,050,835,331,210"
2004-03-16,850.13,-2.13,-0.25,843.83,850.15,838.11,0,"440,154",0,"2,245,929,832,250",0,"373,829,593,956,385"
2004-03-17,872.38,22.25,2.62,858.15,872.78,857.29,0,"524,437",0,"2,547,812,226,130",0,"383,661,677,908,320"
2004-03-18,872.82,0.44,0.05,879.22,879.56,869.09,0,"488,459",0,"2,439,760,256,315",0,"383,842,859,217,035"
2004-03-19,883.33,10.51,1.2,874.57,883.33,868.97,0,"425,078",0,"2,181,384,582,510",0,"388,716,456,649,090"
2004-03-22,863.69,-19.64,-2.22,878.62,881,862.63,0,"371,613",0,"2,039,805,810,445",0,"380,215,724,762,210"
2004-03-23,866.17,2.48,0.29,854.92,868.99,849.76,0,"383,758",0,"2,113,179,067,320",0,"381,306,553,747,480"
2004-03-24,861.72,-4.45,-0.51,860.39,867.15,856.54,0,"311,093",0,"1,823,343,908,340",0,"379,398,497,026,170"
2004-03-25,853.38,-8.34,-0.97,862.3,868.78,849.56,0,"357,256",0,"2,273,877,521,590",0,"375,628,422,675,230"
2004-03-26,863.95,10.57,1.24,866.29,873.01,861.63,0,"303,971",0,"2,524,367,572,346",0,"380,413,970,467,475"
2004-03-29,874.67,10.72,1.24,868.1,878.37,867.21,0,"335,585",0,"1,967,004,760,795",0,"385,205,106,350,965"
2004-03-30,873.46,-1.21,-0.14,879.41,879.41,870.86,0,"287,738",0,"1,870,836,106,205",0,"384,647,657,580,615"
