,Æò±Õ ±â¿Â,,,,,,,,,,,
2012-01-01,-3,,,,,,,,,,,
2012-01-02,-4.8,,,,,,,,,,,
2012-01-03,-4.5,,,,,,,,,,,
2012-01-04,-7.4,,,,,,,,,,,
2012-01-05,-5.7,,,,,,,,,,,
2012-01-06,-2.8,,,,,,,,,,,
2012-01-07,-3.8,,,,,,,,,,,
2012-01-08,-2.5,,,,,,,,,,,
2012-01-09,-0.3,,,,,,,,,,,
2012-01-10,-2.5,,,,,,,,,,,
2012-01-11,-6,,,,,,,,,,,
2012-01-12,-4.6,,,,,,,,,,,
2012-01-13,-1.2,,,,,,,,,,,
2012-01-14,-1.5,,,,,,,,,,,
2012-01-15,-2.6,,,,,,,,,,,
2012-01-16,1,,,,,,,,,,,
2012-01-17,2.8,,,,,,,,,,,
2012-01-18,1.4,,,,,,,,,,,
2012-01-19,5.3,,,,,,,,,,,
2012-01-20,5.4,,,,,,,,,,,
2012-01-21,2.4,,,,,,,,,,,
2012-01-22,-7.7,,,,,,,,,,,
2012-01-23,-9.6,,,,,,,,,,,
2012-01-24,-7.3,,,,,,,,,,,
2012-01-25,-8.2,,,,,,,,,,,
2012-01-26,-2.9,,,,,,,,,,,
2012-01-27,-0.9,,,,,,,,,,,
2012-01-28,-1.8,,,,,,,,,,,
2012-01-29,-2.8,,,,,,,,,,,
2012-01-30,-5.6,,,,,,,,,,,
2012-01-31,-4.7,,,,,,,,,,,
2012-02-01,-12.8,,,,,,,,,,,
2012-02-02,-13.7,,,,,,,,,,,
2012-02-03,-8.6,,,,,,,,,,,
2012-02-04,-3,,,,,,,,,,,
2012-02-05,-0.9,,,,,,,,,,,
2012-02-06,0.9,,,,,,,,,,,
2012-02-07,-8.7,,,,,,,,,,,
2012-02-08,-8,,,,,,,,,,,
2012-02-09,-4.5,,,,,,,,,,,
2012-02-10,-3.5,,,,,,,,,,,
2012-02-11,-3.8,,,,,,,,,,,
2012-02-12,-0.1,,,,,,,,,,,
2012-02-13,3.1,,,,,,,,,,,
2012-02-14,3,,,,,,,,,,,
2012-02-15,-1.3,,,,,,,,,,,
2012-02-16,-2.8,,,,,,,,,,,
2012-02-17,-6.4,,,,,,,,,,,
2012-02-18,-6.8,,,,,,,,,,,
2012-02-19,-4.4,,,,,,,,,,,
2012-02-20,-0.2,,,,,,,,,,,
2012-02-21,2.3,,,,,,,,,,,
2012-02-22,5.8,,,,,,,,,,,
2012-02-23,4.4,,,,,,,,,,,
2012-02-24,4.3,,,,,,,,,,,
2012-02-25,1.2,,,,,,,,,,,
2012-02-26,-1.6,,,,,,,,,,,
2012-02-27,-0.7,,,,,,,,,,,
2012-02-28,2.1,,,,,,,,,,,
2012-02-29,5.4,,,,,,,,,,,
2012-03-01,8.7,,,,,,,,,,,
2012-03-02,6.9,,,,,,,,,,,
2012-03-03,6.9,,,,,,,,,,,
2012-03-04,6.2,,,,,,,,,,,
2012-03-05,5.3,,,,,,,,,,,
2012-03-06,3,,,,,,,,,,,
2012-03-07,3,,,,,,,,,,,
2012-03-08,2,,,,,,,,,,,
2012-03-09,3.4,,,,,,,,,,,
2012-03-10,3.9,,,,,,,,,,,
2012-03-11,-2.4,,,,,,,,,,,
