Player,Age,A group,Bat,B group,Height(inch),H group,Weight,W group,5thHR,5thC,10thHR,10thC,20thHR,20thC,30thHR,30thC,Team,League,HR
Donovan Solano,31,2,R,0,67,0,208,1,228,0,228,0,228,0,228,0,SF,0,4
Terrance Gore,28,1,R,0,67,0,165,0,58,0,58,0,58,0,58,0,KC,1,0
Leury Garcia,28,1,B,2,67,0,153,0,272,1,618,0,618,0,618,0,CWS,1,8
Gerardo Parra,32,2,L,1,68,0,219,1,168,1,303,0,303,0,303,0,WAS,0,8
Francisco Mejia,24,0,B,2,68,0,190,1,164,1,244,0,244,0,244,0,SD,0,8
Jonathan Davis,27,1,R,0,68,0,188,1,95,0,95,0,95,0,95,0,TOR,1,2
Adam Eaton,30,2,L,1,68,0,184,1,224,1,518,1,656,0,656,0,WAS,0,15
Josh Harrison,32,2,R,0,68,0,177,0,147,0,147,0,147,0,147,0,DET,1,1
Andrew Velazquez,25,1,B,2,68,0,175,0,24,0,24,0,24,0,24,0,CLE,1,0
Cedric Mullins,25,1,B,2,68,0,175,0,74,0,74,0,74,0,74,0,BAL,1,0
Ozzie Albies,22,0,B,2,68,0,165,0,124,1,293,1,618,1,702,0,ATL,0,24
Willians Astudillo,28,1,R,0,69,0,225,2,204,0,204,0,204,0,204,0,MIN,1,4
Delino DeShields Jr.,27,1,R,0,69,0,205,1,408,0,408,0,408,0,408,0,TEX,1,4
Nick Dini,26,1,R,0,69,0,205,1,64,0,64,0,64,0,64,0,KC,1,2
Christian Vazquez,29,1,R,0,69,0,195,1,83,1,215,1,470,1,521,0,BOS,1,23
Andrew Benintendi,25,1,L,1,69,0,194,1,158,1,424,1,615,0,615,0,BOS,1,13
Kolten Wong,29,1,L,1,69,0,190,1,161,1,461,1,549,0,549,0,STL,0,11
Jose Ramirez,27,1,B,2,69,0,190,1,304,1,405,1,513,1,542,0,CLE,1,23
Luis Urias,22,0,R,0,69,0,186,1,249,0,249,0,249,0,249,0,SD,0,4
Dustin Pedroia,36,2,R,0,69,0,180,1,21,0,21,0,21,0,21,0,BOS,1,0
Willie Calhoun,25,1,L,1,69,0,177,0,84,1,155,1,312,1,337,0,TEX,1,21
Mookie Betts,27,1,R,0,69,0,175,0,119,1,279,1,543,1,706,0,BOS,1,29
Franklin Barreto,23,0,R,0,69,0,174,0,58,0,58,0,58,0,58,0,OAK,1,2
Juan Centeno,29,1,L,1,69,0,172,0,18,0,18,0,18,0,18,0,BOS,1,0
Alex Bregman,25,1,R,0,72,1,192,1,122,1,147,1,321,1,531,1,HOU,1,41
Abraham Almonte,30,2,B,2,69,0,170,0,38,0,38,0,38,0,38,0,ARI,0,1
Mallex Smith,26,1,L,1,69,0,160,0,231,1,566,0,566,0,566,0,SEA,1,6
Tzu-Wei Lin,25,1,L,1,69,0,155,0,22,0,22,0,22,0,22,0,BOS,1,0
Welington Castillo,32,2,R,0,70,1,230,2,113,1,232,1,251,0,251,0,CWS,1,12
Jean Segura,29,1,R,0,70,1,220,2,178,1,313,1,618,0,618,0,PHI,0,12
Josh Phegley,31,2,R,0,70,1,215,1,109,1,245,1,342,0,342,0,OAK,1,12
Mike Brosseau,25,1,R,0,70,1,215,1,84,1,142,0,142,0,142,0,TB,1,6
Manuel Margot,25,1,R,0,70,1,209,1,209,1,303,1,441,0,441,0,SD,0,12
Phillip Ervin,27,1,R,0,70,1,207,1,172,1,260,0,260,0,260,0,CIN,0,7
Max Stassi,28,1,R,0,70,1,206,1,147,0,147,0,147,0,147,0,HOU,1,1
Russell Martin,36,2,R,0,70,1,205,1,223,1,249,0,249,0,249,0,LAD,0,6
Jackie Bradley Jr.,29,1,L,1,70,1,200,1,214,1,356,1,514,1,567,0,BOS,1,21
Eric Haase,26,1,R,0,70,1,200,1,17,0,17,0,17,0,17,0,CLE,1,1
Tony Wolters,27,1,L,1,70,1,197,1,411,0,411,0,411,0,411,0,COL,0,1
Anthony Rendon,29,1,R,0,72,1,190,1,54,1,159,1,311,1,531,1,WAS,0,34
Brock Holt,31,2,L,1,70,1,195,1,295,0,295,0,295,0,295,0,BOS,1,3
Taylor Davis,29,1,R,0,70,1,195,1,20,0,20,0,20,0,20,0,CHC,0,1
Guillermo Heredia,28,1,R,0,70,1,195,1,223,1,231,0,231,0,231,0,TB,1,5
John Ryan Murphy,28,1,R,0,70,1,195,1,70,0,70,0,70,0,70,0,ARI,0,4
Danny Mendick,26,1,R,0,70,1,195,1,40,0,40,0,40,0,40,0,CWS,1,2
Jose Trevino,26,1,R,0,70,1,195,1,126,0,126,0,126,0,126,0,TEX,1,2
Jose Pirela,29,1,R,0,70,1,191,1,24,0,24,0,24,0,24,0,PHI,0,1
Rene Rivera,36,2,R,0,70,1,190,1,20,0,20,0,20,0,20,0,NYM,0,1
Daniel Descalso,33,2,L,1,70,1,190,1,193,0,193,0,193,0,193,0,CHC,0,2
Austin Meadows,24,0,L,1,74,1,195,1,56,1,143,1,415,1,536,1,TB,1,33
Christian Colon,30,2,R,0,70,1,190,1,8,0,8,0,8,0,8,0,CIN,0,0
Austin Barnes,29,1,R,0,70,1,190,1,167,1,242,0,242,0,242,0,LAD,0,5
Jon Berti,29,1,R,0,70,1,190,1,155,1,287,0,287,0,287,0,MIA,0,6
Michael Chavis,24,0,R,0,70,1,190,1,58,1,118,1,382,0,382,0,BOS,1,18
Tommy Edman,24,0,B,2,70,1,185,1,185,1,298,1,349,0,349,0,STL,0,11
Isan Diaz,23,0,L,1,70,1,185,1,201,1,201,0,201,0,201,0,MIA,0,5
Eric Sogard,33,2,L,1,70,1,183,1,148,1,271,1,442,0,442,0,TOR,1,10
Jake Elmore,32,2,R,0,70,1,180,1,49,0,49,0,49,0,49,0,PIT,0,0
Jedd Gyorko,31,2,R,0,70,1,180,1,39,0,39,0,39,0,39,0,LAD,0,0
Chris Owings,28,1,R,0,70,1,180,1,196,0,196,0,196,0,196,0,KC,1,2
Nick Solak,24,0,R,0,70,1,180,1,115,1,135,0,135,0,135,0,TEX,1,5
Myles Straw,25,1,R,0,70,1,179,0,128,0,128,0,128,0,128,0,HOU,1,0
